,Model,Accuracy,Precision,F1-Score,AUC
0,SVC,0.674,0.6298507462686567,0.7213675213675212,0.6739999999999999
1,Decision Tree Classifier,0.563,0.5430916552667578,0.6450040617384242,0.563
2,Gaussian Process Classifier,0.711,0.6715447154471544,0.7408071748878924,0.711
3,Multilayer Perceptron,0.719,0.6910994764397905,0.7381174277726003,0.719
4,XgBoost,0.686,0.7104072398190046,0.6666666666666667,0.686
