,Model,Accuracy,Precision,F1-Score,AUC
0,SVC,0.648,0.9805194805194806,0.46177370030581033,0.648
1,Decision Tree Classifier,0.547,0.5320600272851296,0.6326034063260341,0.5469999999999999
2,Gaussian Process Classifier,0.641,0.5923984272608126,0.7157561361836897,0.641
3,Multilayer Perceptron,0.709,0.7317073170731707,0.694006309148265,0.7090000000000001
4,XgBoost,0.614,0.6716867469879518,0.5360576923076923,0.6140000000000001
